"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5198","LD-carboxypeptidase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68670","carboxypeptidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5201","transcriptional accessory protein Tex","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68710","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5202","thiolester hydrolase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68720","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5204","N-acetylglutamate synthase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68740","N-acetylglutamate synthase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5205","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68750","multiple drug resistance protein MarC",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5206","acetylornithine deacetylase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68770","acetylornithine deacetylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5207","probable phosphate transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68780","phosphate transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5209","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68810","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5210","probable secretion pathway ATPase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68820","secretion pathway ATPase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5211","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68830","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5212","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68840","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5213","glycine cleavage system protein P1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68850","glycine dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5214","glycine cleavage system protein H1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68860","glycine cleavage system protein H",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5217","putative binding protein of iron ABC transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68900","iron ABC transporter substrate-binding protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5218","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68920","LysR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5219","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68930","permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5220","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68940","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5222","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68970","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5223","ubiH protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_68980","2-octaprenyl-6-methoxyphenyl hydroxylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5225","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69010","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5226","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69020","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5227","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69030","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5228","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69040","5-formyltetrahydrofolate cyclo-ligase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5229","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69050","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5231","probable ATP-binding/permease fusion ABC transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69070","ABC transporter ATP-binding protein/permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5232","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69090","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5236","probable aromatic hydrocarbon reductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69140","CDP-6-deoxy-delta-3,4-glucoseen reductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5238","probable O-antigen acetylase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69170","O-antigen acetylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5241","exopolyphosphatase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69220","exopolyphosphatase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5242","polyphosphate kinase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69230","polyphosphate kinase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5243","delta-aminolevulinic acid dehydratase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69240","delta-aminolevulinic acid dehydratase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5247","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69280","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5251","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69330","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5252","probable ATP-binding component of ABC transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69340","ABC transporter ATP-binding protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5256","disulfide bond formation protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69400","DsbB2",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5258","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69430","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0263","secreted protein Hcp","PA1512 | secreted protein Hcp","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69560","secreted protein Hcp","PA14_44890 | secreted protein Hcp"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0263","secreted protein Hcp","PA5267 | secreted protein Hcp","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69560","secreted protein Hcp","PA14_44890 | secreted protein Hcp"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0263","secreted protein Hcp","PA1512 | secreted protein Hcp","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69560","secreted protein Hcp","PA14_43070 | Hcp2"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0263","secreted protein Hcp","PA5267 | secreted protein Hcp","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69560","secreted protein Hcp","PA14_43070 | Hcp2"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0263","secreted protein Hcp","PA1512 | secreted protein Hcp","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69560","secreted protein Hcp","PA14_03240 | secreted protein Hcp"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0263","secreted protein Hcp","PA5267 | secreted protein Hcp","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69560","secreted protein Hcp","PA14_03240 | secreted protein Hcp"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5268","magnesium/cobalt transport protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69570","magnesium/cobalt transport protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5270","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69590","ABC-type amino acid transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5274","nucleoside diphosphate kinase regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69630","nucleoside diphosphate kinase regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5275","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69640","frataxin-like protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5276","Lipopeptide LppL precursor","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69660","lipopeptide LppL",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5278","diaminopimelate epimerase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69690","diaminopimelate epimerase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5279","GAF domain containing protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69700","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5281","probable hydrolase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69720","hydrolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5282","probable major facilitator superfamily (MFS) transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69740","MFS transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5283","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69750","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5284","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69760","fimbrial protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5285","SutA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69770","SutA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5288","nitrogen regulatory protein P-II 2","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69810","nitrogen regulatory protein P-II 2",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5294","putative multidrug efflux pump","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69890","multidrug efflux protein NorA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5296","ATP-dependent DNA helicase Rep","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69910","ATP-dependent DNA helicase Rep",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5297","pyruvate dehydrogenase (cytochrome)","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69925","pyruvate dehydrogenase (cytochrome)",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5300","cytochrome c5","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_69970","cytochrome c5",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5305","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70050","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5306","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70060","lipoprotein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5308","leucine-responsive regulatory protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70080","leucine-responsive regulatory protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5309","FAD-dependent oxidoreductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70100","oxidoreductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5312","Aldehyde dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70140","aldehyde dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5313","Transaminase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70160","omega amino acid--pyruvate transaminase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5314","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70170","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5315","50S ribosomal protein L33","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70180","50S ribosomal protein L33",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5324","Sphingosine-responsive Regulator, SphR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70290","Sphingosine-responsive Regulator, SphR",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5325","SphA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70300","SphA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5327","SphC","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70330","SphC",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5334","ribonuclease PH","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70420","ribonuclease PH",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5336","guanylate kinase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70440","guanylate kinase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5340","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70490","lipoprotein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5341","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70510","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5343","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70550","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5344","OxyR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70560","LysR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5346","SadB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70580","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5348","probable DNA-binding protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70600","HU family DNA-binding protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5355","glycolate oxidase subunit GlcD","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70690","glycolate oxidase subunit GlcD",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5357","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70720","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5358","4-hydroxybenzoate-octaprenyl transferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70730","4-hydroxybenzoate octaprenyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5360","two-component response regulator PhoB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70750","two-component response regulator PhoB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5361","two-component sensor PhoR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70760","two-component sensor PhoR",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5365","phosphate uptake regulatory protein PhoU","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70800","phosphate uptake regulatory protein PhoU",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5366","ATP-binding component of ABC phosphate transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70810","phosphate transporter ATP-binding protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5368","membrane protein component of ABC phosphate transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70850","membrane protein component of ABC phosphate transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5372","choline dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70940","choline dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5373","betaine aldehyde dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_70950","betaine aldehyde dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5376","CbcV","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71000","lycine betaine/L-proline ABC transporter, ATP-binding subunit",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5377","CbcW","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71020","BC-type proline/glycine betaine transport system, permease component",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5378","CbcX","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71030","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5379","L-serine dehydratase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71060","L-serine dehydratase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5381","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71080","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5386","CdhA, Carnitine dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71140","3-hydroxybutyryl-CoA dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5388","CaiX","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71160","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5389","CdhR, transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71170","AraC family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5391","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71190","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5392","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71200","YjgF family translation initiation inhibitor",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5394","cardiolipin synthase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71220","cardiolipin synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5395","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71230","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5396","amidohydrolase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71240","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5397","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71250","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5398","DgcA, Dimethylglycine catabolism","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71260","FMN oxidoreductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5400","probable electron transfer flavoprotein alpha subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71300","electron transfer flavoprotein alpha subunit",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5402","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71320","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5404","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71340","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5405","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71350","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5406","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71360","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5410","GbcA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71410","ring hydroxylating dioxygenase, alpha-subunit",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5411","GbcB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71420","ferredoxin",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5414","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71450","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5415","serine hydroxymethyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71460","serine hydroxymethyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5416","sarcosine oxidase beta subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71470","sarcosine oxidase beta subunit",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5418","sarcosine oxidase alpha subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71500","sarcosine oxidase alpha subunit",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5424","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71590","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5431","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71680","GntR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5432","probable acetyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71690","GNAT family acetyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5434","tryptophan permease","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71710","tryptophan permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5435","probable transcarboxylase subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71720","pyruvate carboxylase subunit B",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5436","probable biotin carboxylase subunit of a transcarboxylase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71740","pyruvate carboxylase subunit A",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5437","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71750","LysR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5438","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71780","RpiR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5439","probable glucose-6-phosphate dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71800","glucose-6-phosphate 1-dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5440","probable peptidase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71820","peptidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5442","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71850","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5443","UvrD helicase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71870","DNA-dependent helicase II",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5445","probable coenzyme A transferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71890","coenzyme A transferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5447","glycosyltransferase WbpZ","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71910","glycosyltransferase WbpZ",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5448","glycosyltransferase WbpY","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71920","glycosyltransferase WbpY",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5449","glycosyltransferase WbpX","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71930","glycosyltransferase WbpX",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5452","phosphomannose isomerase/GDP-mannose WbpW","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71970","GDP-mannose pyrophosphorylase",""
